stop_id,stop_name,stop_lon,stop_lat,location_type,location_id,location_lon,location_lat,location_place,location_name,location_products,distance
251805,Hans-Thoma-Straße,8.524343,49.475221,STATION,508705,8524228,49474992,Mannheim,"Neuostheim Hans-Thoma-Straße",TRAM;BUS,27
347920,"Schriesheim Bahnhof",8.66034,49.47144,STATION,518517,8660406,49472664,Schriesheim,Bahnhof,TRAM;BUS,136
251801,Hans-Thoma-Straße,8.524343,49.475243,STATION,508705,8524228,49474992,Mannheim,"Neuostheim Hans-Thoma-Straße",TRAM;BUS,29
284706,"SAP Arena",8.518961,49.463337,STATION,507341,8519697,49464115,Mannheim,"Neuhermsheim SAP Arena",TRAM;BUS,102
284705,"SAP Arena",8.520431,49.46492,STATION,507341,8519697,49464115,Mannheim,"Neuhermsheim SAP Arena",TRAM;BUS,104
257105,"Rastenburger Straße",8.468441,49.550576,STATION,509697,8468450,49550717,Mannheim,"Schönau Rastenburger Straße",BUS,16
284702,"SAP Arena",8.518957,49.463313,STATION,507341,8519697,49464115,Mannheim,"Neuhermsheim SAP Arena",TRAM;BUS,104
257106,"Rastenburger Straße",8.468393,49.550792,STATION,509697,8468450,49550717,Mannheim,"Schönau Rastenburger Straße",BUS,9
284701,"SAP Arena",8.520468,49.464911,STATION,507341,8519697,49464115,Mannheim,"Neuhermsheim SAP Arena",TRAM;BUS,105
261601,Roche,8.469148,49.528296,STATION,510279,8468908,49528505,Mannheim,"Waldhof Roche",TRAM;BUS,29
204606,"Königsbacher Straße",8.40047,49.4623,STATION,506507,8401273,49461445,"Ludwigshafen am R","Gartenstadt Königsbacher Straße",BUS,112
261602,Roche,8.468683,49.528692,STATION,510279,8468908,49528505,Mannheim,"Waldhof Roche",TRAM;BUS,26
204605,"Königsbacher Straße",8.401958,49.460727,STATION,506507,8401273,49461445,"Ludwigshafen am R","Gartenstadt Königsbacher Straße",BUS,94
336801,"Rohrbach NVZ",8.67927,49.38341,STATION,510764,8678663,49382996,Heidelberg,"Rohrbach NVZ",BUS,64
261605,Roche,8.469127,49.528416,STATION,510279,8468908,49528505,Mannheim,"Waldhof Roche",TRAM;BUS,19
614401,Universitäts-Campus,8.670507,49.413369,STATION,508205,8670348,49413398,Heidelberg,"Neuenheim Uni-Campus",BUS,12
670905,"Neckarh. Friedhof",8.598075,49.460948,STATION,515704,8598119,49461122,Edingen-Neckarhausen,"Neckarhausen Friedhof",BUS,20
614402,Universitäts-Campus,8.670295,49.413455,STATION,508205,8670348,49413398,Heidelberg,"Neuenheim Uni-Campus",BUS,7
261606,Roche,8.468916,49.528704,STATION,510279,8468908,49528505,Mannheim,"Waldhof Roche",TRAM;BUS,22
112702,"Emmertsgrund Endst.",8.704491,49.358877,STATION,506111,8703832,49359436,Heidelberg,"Emmertsgrund Endstelle",BUS,78
112701,"Emmertsgrund Endst.",8.703837,49.359335,STATION,506111,8703832,49359436,Heidelberg,"Emmertsgrund Endstelle",BUS,11
236201,Speckweg,8.49903,49.5206,STATION,511187,8499085,49520693,Mannheim,"Käfertal Speckweg",TRAM;BUS,11
236202,Speckweg,8.49938,49.52106,STATION,511177,8499166,49520684,Mannheim,"Käfertal Speckweg",TRAM;BUS,45
133201,Augustinum,8.703482,49.362895,STATION,506110,8703491,49362968,Heidelberg,"Emmertsgrund Augustinum",BUS,8
133202,Augustinum,8.703578,49.362937,STATION,506110,8703491,49362968,Heidelberg,"Emmertsgrund Augustinum",BUS,7
214405,Damaschkestraße,8.404414,49.471814,STATION,518435,8404671,49471459,"Ludwigshafen am Rhein","Niederfeld Damaschkestraße",BUS,44
239702,Bgm.-Fuchs-Straße,8.463843,49.501265,STATION,508111,8463650,49501232,Mannheim,"Bürgermeister-Fuchs-Straße",TRAM;BUS,14
752637,"Rheinallee Nord",8.45541,49.47656,STATION,510125,8455424,49476628,"Ludwigshafen am Rhein","Rheinallee Nord",BUS;ON_DEMAND,8
239701,Bgm.-Fuchs-Straße,8.463646,49.501285,STATION,508111,8463650,49501232,Mannheim,"Bürgermeister-Fuchs-Straße",TRAM;BUS,6
214407,Damaschkestraße,8.4043,49.47134,STATION,518435,8404671,49471459,"Ludwigshafen am Rhein","Niederfeld Damaschkestraße",BUS,30
239706,Bgm.-Fuchs-Straße,8.463657,49.501167,STATION,508111,8463650,49501232,Mannheim,"Bürgermeister-Fuchs-Straße",TRAM;BUS,7
